category,item,serving_size,calories,fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fibre,sugar,protein,vitamin_a,vitamin_c,calcium,iron
SUMOMAKI,Spicy  Tuna  crunch  Hand  Roll  (brown  rice),120,160,3,0.1,0,25,80,19,2,1,12,0,8,0,4
SUMOMAKI,Boston  Roll,176,170,4.5,0.5,0.1,55,390,24,2,2,9,6,10,6,8
SUMOMAKI,Boston  Hand  Roll,143,120,2.5,0.4,0,55,360,16,2,2,8,10,8,6,8
SUMOMAKI,Boston  Roll  (brown  rice),176,210,6,0.5,0.1,55,390,29,4,2,9,6,10,4,6
SUMOMAKI,Boston  Hand  Roll  (brown  rice),143,140,3.5,0.4,0,55,360,19,3,2,9,10,8,4,8
SUMOMAKI,Tuna  Kamikaze    Roll,180,200,4.5,0.5,0,40,430,29,2,2,12,2,8,2,8
SUMOMAKI,Tuna  Kamikaze  Hand  Roll,134,150,4.5,0.5,0,45,380,19,2,2,9,2,8,2,4
SUMOMAKI,Tuna  Kamikaze    Roll  (brown  rice),180,240,5,0.5,0,40,430,34,4,2,12,2,8,2,6
SUMOMAKI,Tuna  Kamikaze  Hand  Roll  (brown  rice),134,170,5,0.5,0,45,380,22,3,2,10,2,8,0,4
SUMOMAKI,Salmon  Kamikaze    Roll,180,210,6,0.5,0,45,430,29,2,2,11,2,8,2,8
SUMOMAKI,Salmon  Kamikaze  Hand  Roll  ,134,160,5,0.5,0,45,380,19,2,2,9,2,8,2,4
SUMOMAKI,Salmon  Kamikaze    Roll(brown  rice),180,250,7,0.5,0,45,430,34,4,2,12,2,8,0,6
SUMOMAKI,Salmon  Kamikaze  Hand  Roll    (brown  rice),134,180,6,0.5,0,45,380,22,3,2,9,2,8,0,4
SUMOMAKI,Snow  Crab  Roll,170,190,4,0.5,0,30,530,26,2,1,11,0,8,4,6
SUMOMAKI,Snow  Crab  Hand  Roll,122,140,4.5,0.4,0,35,460,17,2,1,9,0,8,2,2
SUMOMAKI,Snow  Crab  Roll  (brown  rice),170,220,5,0,0,30,530,31,4,1,11,0,8,2,4
SUMOMAKI,Snow  Crab  Hand  Roll    (brown  rice),122,160,5,0.4,0,35,460,20,3,1,9,0,8,2,2
SUMOMAKI,Rainbow  Roll,194,220,6,1,0,25,125,28,2,2,14,2,10,2,10
SUMOMAKI,Rainbow  Hand  Roll,119,150,5,0.5,0,20,70,16,2,0,10,2,8,2,4
SUMOMAKI,Rainbow  Roll  (brown  rice),194,250,7,1,0,25,125,33,4,2,14,2,10,2,8
SUMOMAKI,RainbowHand  Roll  (brown  rice),119,170,6,0.5,0,20,70,19,3,1,10,2,8,0,4
SUMOMAKI,Red  Eye  Roll,157,180,2.5,0.3,0,45,360,27,1,1,13,0,6,4,6
SUMOMAKI,Red  Eye  Hand  Roll,103,130,3,0.2,0,45,350,17,1,1,9,0,6,2,4
SUMOMAKI,Red  Eye  Roll  (brown  rice),157,220,3.5,0.3,0,45,360,32,3,1,13,0,6,2,6
SUMOMAKI,Red  Eye  Hand  Roll  (brown  rice),103,150,3.5,0.2,0,45,350,20,2,1,9,0,6,2,2
SUMOMAKI,Miami  Roll,161,250,8,2,0.1,40,450,26,1,2,12,4,2,4,6
SUMOMAKI,Miami  Hand  Roll,101,170,5,1,0,20,250,16,1,1,8,2,2,2,4
SUMOMAKI,Miami  Roll  (brown  rice),161,290,9,2,0.1,40,450,31,3,2,13,4,2,2,6
SUMOMAKI,MiamiHand  Roll  (brown  rice),101,240,6,1,0,20,250,29,3,1,10,2,2,2,4
SUMOMAKI,Empereur  Roll,168,200,5,2,0,20,125,27,2,1,13,2,8,2,8
SUMOMAKI,Empereur  Hand  Roll,124,160,5,0.5,0,30,75,16,2,0,12,2,8,2,6
SUMOMAKI,Empereur  Roll  (brown  rice),168,240,6,0.5,0,20,125,32,4,1,13,2,8,0,8
SUMOMAKI,Empereur  Hand  Roll  (brown  rice),124,180,6,0.5,0,30,75,19,3,0,13,2,8,0,4
SUMOMAKI,Spicy  Shrimp  Roll,187,200,6,1,0,55,450,28,3,2,10,10,10,6,10
SUMOMAKI,Spicy  Shrimp  Hand  Roll,137,160,5,0.5,0,65,390,19,2,1,10,8,8,4,8
SUMOMAKI,Spicy  Shrimp  Roll  (brown  rice),187,230,7,1,0,55,450,33,5,2,10,10,10,4,10
SUMOMAKI,Spicy  Shrimp  Hand  Roll  (brown  rice),137,180,6,0.5,0,65,390,22,3,1,10,8,8,2,8
SUMOMAKI,Exotik  Roll,203,180,2,0.3,0,55,450,32,2,7,9,15,15,6,10
SUMOMAKI,Exotik  Hand  Roll,156,130,2,0.3,0,30,290,22,2,5,7,15,15,6,10
SUMOMAKI,Exotik  Roll  (brown  rice),203,220,3,0.3,0,55,450,37,4,7,10,15,15,4,10
SUMOMAKI,Exotik  Hand  Roll  (brown  rice),156,200,3,0.3,0,30,290,35,4,5,9,15,15,4,8
SUMOMAKI,Ginger  Roll,175,200,6,0.5,0.1,50,560,26,2,2,11,2,8,4,8
SUMOMAKI,Ginger  Hand  Roll,116,140,4.5,0.4,0,55,370,17,2,2,8,2,8,2,6
SUMOMAKI,Ginger  Roll  (brown  rice),175,240,7,0.5,0.1,50,560,31,4,2,12,2,8,2,6
SUMOMAKI,Ginger  Hand  Roll  (brown  rice),116,160,5,0.4,0,55,370,20,3,2,9,2,8,2,4
SUMOMAKI,Smoky  Roll,159,210,6,1,0,35,460,28,2,2,9,2,6,4,8
SUMOMAKI,Smoky  Hand  Roll,109,160,6,1,0,40,390,17,2,1,8,2,6,4,4
SUMOMAKI,Smoky  Roll  (brown  rice),159,240,8,1,0,35,450,34,4,2,10,2,6,4,8
SUMOMAKI,SmokyHand  Roll  (brown  rice),109,180,7,1,0,40,390,20,3,1,8,2,6,2,4
SUMOMAKI,Rock  Lobster  Roll,184,200,7,1,0,30,210,23,3,1,12,10,10,8,8
SUMOMAKI,Rock  Lobster  Hand  Roll,118,130,4.5,0.5,0,20,135,14,2,0,9,6,8,6,6
SUMOMAKI,Rock  Lobster  Roll  (brown  rice),184,230,8,1,0,30,210,28,5,1,13,10,10,6,8
SUMOMAKI,Rock  Lobster  Hand  Roll  (brown  rice),118,150,5,0.5,0,20,135,17,4,0,9,6,8,4,6
SUMOMAKI,Grilled  Chicken  Roll,185,270,14,1.5,0,20,380,29,2,2,10,15,40,2,10
SUMOMAKI,Grilled  Chicken  Hand  Roll,136,210,12,1,0,25,300,18,2,1,10,10,40,2,6
SUMOMAKI,Grilled  Chicken  Roll  (brown  rice),185,310,15,1.5,0,20,370,34,4,2,11,15,40,2,8
SUMOMAKI,Grilled  Chicken  Hand  Roll  (brown  rice),136,230,12,1,0,25,300,21,3,1,10,10,40,2,6
SUMOMAKI,Calypso,191,220,10,1.5,0.1,40,500,18,3,3,14,20,15,8,10
SUMOMAKI,Fusion  Roll,205,220,10,2.5,0.1,20,200,24,2,2,10,15,15,8,10
SUMOMAKI,Fusion  Hand  Roll,149,140,6,2,0.1,15,130,15,2,2,7,15,10,6,8
SUMOMAKI,Fusion  Roll  (brown  rice),205,250,11,2.5,0.1,20,200,29,5,2,10,15,15,6,8
SUMOMAKI,Fusion  Hand  Roll  (brown  rice),149,160,7,2,0.1,15,125,18,3,2,8,15,10,6,6
SUMOMAKI,Inferno  Roll,167,360,20,6,0.2,55,970,36,4,7,8,4,6,10,10
SUMOMAKI,Inferno  Hand  Roll,100,210,11,3.5,0.1,55,580,19,2,4,7,4,6,6,4
SUMOMAKI,Inferno  Roll  (brown  rice),167,400,21,6,0.2,55,970,42,6,7,9,4,6,8,10
SUMOMAKI,Inferno  Hand  Roll  (brown  rice),100,230,12,3.5,0.1,55,580,22,3,4,7,4,6,4,4
BLOSSOM,Teriyaki  Salmon - white  rice,231,310,11,1.5,0,35,700,35,3,7,17,40,15,6,10
BLOSSOM,Teriyaki  Salmon - brown  rice,231,340,13,1.5,0.1,35,700,40,5,7,17,40,15,6,8
BLOSSOM,Flame -­white rice,248,350,14,1.5,0.1,30,960,48,3,5,10,90,25,8,10
BLOSSOM,Flame -­brown  rice,248,390,15,1.5,0.1,30,960,54,6,5,11,90,25,6,8
BLOSSOM,Salmon  Truffle,217,300,7,1,0,90,670,37,0,1,20,4,6,4,15
BLOSSOM,Salmon  Truffle  (brown  rice),217,340,9,1,0,90,670,43,3,1,21,4,6,4,15
BLOSSOM,Sesame  Tuna,222,290,5,0.5,0,85,900,37,0,1,22,4,6,4,15
BLOSSOM,Sesame  Tuna  (brown  rice),222,330,6,0.5,0,85,900,43,3,1,23,4,6,4,15
BLOSSOM,Volcano,372,650,32,3,0.2,100,370,56,3,1,31,4,8,6,10
BLOSSOM,Volcano  (brown  rice),372,720,34,3,0.2,100,370,67,7,1,32,4,8,4,10
BLOSSOM,Diablo,225,320,12,1.5,0.1,70,740,34,2,2,18,4,8,2,8
BLOSSOM,Diablo  (brown  rice),225,360,13,1.5,0.1,70,740,39,4,2,19,4,8,2,8
BLOSSOM,Magik,218,320,9,1,0.1,30,1310,39,2,1,16,2,15,4,8
BLOSSOM,Magik  (brown  rice),218,350,10,1,0.1,30,1310,43,4,1,17,2,15,2,8
BLOSSOM,Cherry  Blossom,290,440,14,2,0.2,110,1220,56,0,2,20,8,6,6,15
BLOSSOM,Cherry  Blossom  (brown  rice),290,480,15,2,0.2,110,1220,62,3,2,20,8,6,6,10
CRISPY ROLLS,Philly,207,420,24,3,0,40,560,40,2,2,12,4,6,2,10
CRISPY ROLLS,Philly  (brown  rice)  ,207,450,25,3,0,40,560,45,4,2,12,4,6,2,10
CRISPY ROLLS,Spyder,240,460,26,2,0.1,100,350,37,2,1,20,2,10,10,15
CRISPY ROLLS,Spyder  (brown  rice),240,500,27,2,0.1,100,350,43,4,1,21,2,10,10,15
